genre,popularity,acousticness,danceability,energy,valence,tempo,duration_ms
Soul,42,0.0779,0.68,0.909,0.809,147.927,190358
Blues,28,0.788,0.435,0.33,0.867,173.526,129907
World,52,0.816,0.276,0.249,0.158,136.231,323520
Soul,45,0.182,0.779,0.74,0.458,176.061,170455
Indie,61,0.68,0.603,0.337,0.164,139.824,244267
Movie,21,0.24,0.576,0.814,0.802,132.228,210427
Alternative,42,0.000242,0.565,0.922,0.393,130.025,262853
Rap,64,0.038,0.728,0.62,0.885,81.998,176675
Hip-Hop,51,0.229,0.653,0.581,0.116,83.96,137000
Soul,59,0.294,0.61,0.752,0.832,89.995,196867
Children’s Music,61,0.0492,0.641,0.531,0.194,135.564,225413
Comedy,31,0.49,0.406,0.391,0.66,55.484,180000
Rock,54,0.00462,0.591,0.797,0.351,104.014,229667
World,37,0.0937,0.655,0.664,0.679,109.993,268573
Opera,11,0.982,0.247,0.138,0.0393,78.005,247933
Classical,45,0.0015,0.237,0.871,0.293,93.004,672573
Ska,35,0.0367,0.537,0.921,0.973,98.029,126373
Alternative,66,0.000595,0.557,0.886,0.17,114.025,262440
Folk,53,0.112,0.692,0.9,0.931,79.038,260080
Folk,48,0.00701,0.677,0.748,0.746,146.03,192440
Blues,37,0.000388,0.344,0.725,0.706,178.788,400240
Country,59,0.0836,0.471,0.791,0.355,128.007,213399
Indie,54,0.587,0.579,0.38,0.338,144.387,247794
World,26,0.99,0.248,0.0527,0.102,138.673,255229
World,28,0.923,0.39,0.118,0.235,140.12,299938
Dance,57,0.322,0.709,0.68,0.818,126.961,242792
World,28,0.941,0.227,0.293,0.0337,138.386,341880
Pop,64,0.0211,0.663,0.715,0.607,77.024,173053
Rap,70,0.313,0.667,0.423,0.156,125.116,236120
Blues,28,0.222,0.699,0.502,0.687,142.006,351532
Reggae,47,0.318,0.538,0.655,0.693,113.283,239707
Rock,53,0.613,0.577,0.419,0.855,163.942,161867
Classical,41,0.977,0.2,0.194,0.0634,95.47,271507
Movie,14,0.834,0.0828,0.196,0.0805,65.489,167760
Folk,43,0.817,0.48,0.125,0.233,116.391,318023
Alternative,44,0.0871,0.608,0.791,0.722,92.743,144821
Rap,63,0.0042,0.77,0.853,0.615,164.037,135732
World,37,0.102,0.378,0.431,0.077,127.847,720266
Soundtrack,28,0.927,0.152,0.101,0.033,71.049,204067
Ska,31,2.04e-05,0.247,0.727,0.444,171.205,200040
Blues,30,0.844,0.479,0.569,0.886,105.513,142427
Blues,22,0.163,0.503,0.657,0.749,170.224,214467
Soul,41,0.0304,0.576,0.769,0.707,146.026,212385
World,35,0.491,0.284,0.262,0.153,148.119,288547
Electronic,52,0.113,0.715,0.64,0.4,113.507,329169
Anime,46,0.112,0.537,0.91,0.135,108.065,255373
Pop,60,0.0283,0.674,0.87,0.26,125.943,231653
World,27,0.168,0.439,0.72,0.39,79.032,282453
Children’s Music,55,0.41,0.473,0.309,0.37,120.168,294533
Alternative,49,0.115,0.374,0.697,0.493,77.549,204400
Rock,67,0.0256,0.514,0.864,0.471,94.927,181600
Jazz,29,0.578,0.665,0.645,0.693,143.981,311253
World,30,0.468,0.223,0.386,0.176,72.599,581083
Comedy,22,0.787,0.447,0.963,0.134,170.326,148720
World,50,0.432,0.3,0.365,0.125,105.831,328889
Reggae,31,0.0674,0.76,0.666,0.86,88.096,241480
Opera,14,0.967,0.198,0.283,0.0664,77.027,180293
Electronic,50,0.718,0.647,0.397,0.179,179.868,263689
Electronic,35,0.0497,0.669,0.793,0.439,127.994,190119
World,38,0.391,0.486,0.611,0.265,136.263,316464
Comedy,29,0.889,0.561,0.399,0.662,82.266,207667
Classical,38,0.987,0.173,0.0154,0.0734,131.12,463000
Jazz,34,0.967,0.496,0.0156,0.129,121.267,262880
Jazz,54,0.344,0.547,0.46,0.543,90.768,324733
Blues,20,0.182,0.884,0.534,0.849,105.021,214707
Folk,42,0.8,0.805,0.371,0.808,119.974,215481
Soul,52,0.337,0.582,0.474,0.12,109.902,235636
Soundtrack,25,0.819,0.459,0.309,0.533,150.529,120213
Jazz,35,0.986,0.394,0.0755,0.208,65.409,346160
Soul,58,0.0386,0.623,0.797,0.373,164.006,228520
Children’s Music,56,0.000963,0.578,0.937,0.769,137.937,239827
Comedy,31,0.251,0.4,0.494,0.736,73.118,87333
Folk,40,0.902,0.723,0.304,0.376,115.208,245133
Reggae,30,0.0275,0.684,0.879,0.822,92.43,170173
Soul,59,0.734,0.482,0.279,0.101,92.586,229533
Rock,63,0.986,0.51,0.16,0.383,170.063,239508
Reggae,33,0.0453,0.585,0.763,0.881,167.693,213493
Dance,48,0.096,0.52,0.858,0.444,76.761,295813
Jazz,33,0.318,0.628,0.569,0.485,197.955,186493
Opera,9,0.979,0.102,0.02,0.0295,81.675,736426
Rock,59,0.0786,0.584,0.677,0.113,119.006,221138
Alternative,52,0.0108,0.669,0.916,0.862,116.06,193573
Anime,17,0.0391,0.595,0.902,0.958,180.003,224053
Jazz,37,0.715,0.416,0.604,0.711,204.929,198457
Rap,55,0.305,0.72,0.67,0.566,121.342,305280
Alternative,42,0.000831,0.562,0.868,0.476,122.023,206402
World,25,0.00328,0.316,0.823,0.28,179.804,329667
R&B,52,0.617,0.211,0.407,0.254,179.915,265897
Movie,6,0.188,0.723,0.917,0.855,105.058,202800
Reggaeton,26,0.608,0.77,0.759,0.836,102.019,206293
Children’s Music,66,0.0351,0.549,0.656,0.594,180.043,228904
Rap,48,0.00603,0.527,0.885,0.498,133.304,221067
Pop,63,0.00191,0.718,0.679,0.205,157.97,173347
Opera,8,0.985,0.273,0.0413,0.0377,84.532,328453
Movie,22,0.836,0.364,0.266,0.253,130.048,159267
Jazz,50,0.566,0.772,0.422,0.878,132.053,173044
Movie,3,0.0782,0.508,0.587,0.675,80.459,151973
Ska,34,0.176,0.628,0.75,0.795,148.871,143653
World,29,0.0158,0.424,0.456,0.134,157.932,334680
Country,37,0.211,0.66,0.828,0.553,102.044,185973
R&B,58,0.07,0.701,0.691,0.587,131.843,207587
Folk,64,0.739,0.732,0.161,0.5,95.21,239400
Pop,61,0.227,0.511,0.8,0.531,114.042,294200
Rock,72,0.589,0.62,0.446,0.868,88.591,155880
Opera,8,0.967,0.216,0.486,0.189,91.358,129440
Opera,21,0.877,0.267,0.347,0.0776,80.323,140467
Electronic,49,0.0116,0.721,0.899,0.0385,142.018,141972
Pop,74,0.0581,0.763,0.441,0.538,86.093,234589
Reggaeton,50,0.301,0.79,0.725,0.596,96.024,218320
Hip-Hop,51,0.0208,0.603,0.944,0.674,168.084,234147
Comedy,12,0.792,0.577,0.861,0.258,88.156,86667
Children’s Music,49,0.00187,0.317,0.853,0.487,103.37,161133
Indie,54,0.0945,0.701,0.655,0.784,97.98,133267
Jazz,45,0.959,0.392,0.119,0.179,103.886,376546
Blues,44,0.128,0.54,0.772,0.811,109.802,318360
Classical,40,0.987,0.52,0.0272,0.545,70.299,296907
World,26,0.876,0.153,0.037,0.101,66.901,73242
Pop,69,0.124,0.605,0.733,0.489,125.029,161520
Opera,30,0.979,0.291,0.203,0.0638,75.358,207733
Soundtrack,38,0.523,0.289,0.577,0.15,171.83,210094
Children’s Music,53,0.000904,0.498,0.913,0.45,89.359,187667
Alternative,53,0.0171,0.436,0.819,0.405,144.26,268333
Children’s Music,51,0.00277,0.697,0.808,0.54,95.841,232600
